Condition,Length (microns),Growth rate (1/min),Mean width (microns),Cell cycle time (min),Growth rate SEM (1/min)
Glycerol,"{3.9791504457652307, 4.059358208955223, 4.245996119733925, 4.371891185410333, 4.5396681818181825, 4.697466321243523, 4.92799891422367, 5.013650502661147, 5.245624113475178, 5.361750969743987, 5.610270868824532, 5.791295899053629, 5.988570192307692, 6.258797178130512, 6.411879310344828, 6.637620117710005, 6.902802262666011, 7.203618018018019, 7.382046933085504, 8.446848699763592}","{0.029388626855187925, 0.030257910694955332, 0.030013811932221933, 0.029298761174537693, 0.028565076946375348, 0.02847910201948933, 0.027996175470139842, 0.028053056193342325, 0.027489872477327065, 0.027223846844297003, 0.027321135932640944, 0.027057774477771735, 0.027097354780603777, 0.02711164571403929, 0.02737504720331778, 0.028105661286249563, 0.029155061902723125, 0.02992394843970052, 0.03162803548064195, 0.030800502961831795}","{0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922, 0.6992598003384922}","{24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223, 24.480891719745223}","{0.0006155013034426918, 0.0002133973512880806, 0.0002080914289214415, 0.00020456804101476187, 0.00018324912618831028, 0.00016335975338601792, 0.0001578165561759479, 0.00016411629022196225, 0.000149326157336274, 0.0001823354147265914, 0.00012716248920165916, 0.000152403788363763, 0.00013774762226399963, 0.0001689499357005537, 0.00016351844793416998, 0.00015116778585164988, 0.00014210572284950812, 0.00016190845073685552, 0.0001328962145063611, 0.00031124423211579947}"
Mannose,"{2.519351097677379, 2.651188897827834, 2.718247197728291, 2.8203483912902163, 2.919205637707947, 3.026283834048641, 3.133995554238293, 3.2520583727376513, 3.3592067728512, 3.468945091514145, 3.5899123146357224, 3.70617315457923, 3.834961649782927, 3.952005031254768, 4.073768647077817, 4.208144520752465, 4.362786239723064, 4.516693774019983, 4.728325581395346, 4.877984284723826}","{0.01970146277397124, 0.01912076360878254, 0.019149075075469334, 0.019129016129822592, 0.01907226667556491, 0.01866365953344043, 0.018559415406340603, 0.01815783456048845, 0.018082995143834383, 0.01740105325288306, 0.017037848383507217, 0.016811881906286977, 0.016654844119303996, 0.01635001026930895, 0.01656842201924299, 0.01732408186873257, 0.01861052519941053, 0.020294126754975342, 0.02259320164298021, 0.024230421325968955}","{0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421, 0.7283478708863421}","{37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466, 37.572836801752466}","{0.00021700158787799997, 0.00015730987977694908, 0.0001343601456138951, 0.00012646699620992382, 0.00011769265097297047, 0.0001087480163013211, 0.00010605005664974734, 0.00010946836455477549, 0.00009977272722629067, 0.00010873276738414511, 0.00008797539784023729, 0.00009671178218788235, 0.00008912177057609885, 0.00008976661721822002, 0.00009119726927868677, 0.00008644819013136615, 0.00008691824136207513, 0.00008622344980185767, 0.0000826094268781916, 0.00010004330165858097}"
Sucrose,"{2.1387584448693446, 2.1883691974822983, 2.2719535873138668, 2.346510287227541, 2.4340596275752775, 2.5246192177510345, 2.620866318436835, 2.711109647344953, 2.816234298608498, 2.9064996706915482, 3.014245329573494, 3.1201871309305638, 3.224835580524345, 3.3284436968137734, 3.433208561574356, 3.542792848814613, 3.6773075766121477, 3.8386620526003576, 4.024070263006338, 4.23687122375832}","{0.007843113357701773, 0.009928085700474171, 0.011129087111000023, 0.011346394399206107, 0.011021008854398221, 0.011196269541800214, 0.01155249598866352, 0.011179196923993481, 0.011138966204213133, 0.010759700046872616, 0.010652775409430456, 0.010326066354248837, 0.009870049032894243, 0.009438135643637074, 0.009795273909587307, 0.010683999816640623, 0.01193784484408999, 0.014486246469688598, 0.015504758139465924, 0.016553975934900527}","{0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062, 0.7021974270389062}","{62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344, 62.20612648221344}","{0.00026904120493573524, 0.00019957867013286224, 0.0001729431990861051, 0.0001689002336048704, 0.0001573085203483311, 0.00014605727695499252, 0.00014357607960372118, 0.0001384190892839779, 0.00013307803875006586, 0.00014008370649247124, 0.00012081501036584283, 0.00012403176606768352, 0.00011801310921560517, 0.00011740960899809964, 0.00011607809435270825, 0.00011466331726651225, 0.00011143839614958658, 0.00010905802721134671, 0.00010800613788198339, 0.00012000758639135402}"
