Condition,Growth rate (1/min),Length (microns),Cell cycle time (min),Growth rate SEM (1/min),Length SEM (microns)
PYE 34C,"{0.00876292893663861, 0.009126911798847658, 0.009423362075411695, 0.009462352268782795, 0.009164169050419928, 0.00981038261790724, 0.009682241401969282, 0.009956697552133735, 0.01003795257562759, 0.010175241559990106, 0.010401424589415564, 0.010389054343740062, 0.010240914138991232, 0.010510996259367732, 0.010744303717102433, 0.010760391937577985, 0.01112472432643474, 0.011417106075652505, 0.011081758074982833, 0.010690089536966634}","{2.6701730023273855, 2.735189058728882, 2.807196993670886, 2.887596423017107, 2.9667371695178852, 3.048094470046083, 3.133206201550388, 3.2253570336391437, 3.31861013046815, 3.421160892994611, 3.524133231240429, 3.632088509316771, 3.743944657955419, 3.8535992217898833, 3.9738821656050956, 4.104820883534136, 4.241589482612384, 4.3949991452991455, 4.5397106347897775, 4.672692063492063}","{57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005, 57.51784030837005}","{0.0003093532006134166, 0.00023194341658663482, 0.00019877338729723054, 0.0002248735743676748, 0.0002517354774733481, 0.00022165219663163984, 0.00015010099884283179, 0.0001773345568710267, 0.0001350249133700987, 0.00011825752729137918, 0.00012058804785854657, 0.0001060397805438113, 0.0001039335129179329, 0.0001038098818422321, 0.0001032253754272819, 0.000103769870365336, 0.00010845592151303545, 0.0001115766871854121, 0.00011992955154756636, 0.0001630789302800782}","{0.006933969881639755, 0.007310794802184875, 0.007370420544170961, 0.007518737859117696, 0.007703668661323468, 0.0077567634778916515, 0.008251790675704267, 0.008138617012259349, 0.008354729456143274, 0.008585229726232517, 0.008786605543603453, 0.009114025414400075, 0.009314782889533095, 0.009454135052547339, 0.009935364322805165, 0.010225267790260126, 0.010498226484896773, 0.011103924497390165, 0.011128637781327565, 0.012986568792648107}"
PYE 31C,"{0.006348668502004262, 0.007802826106507836, 0.007454959673767832, 0.007358701675815107, 0.007830931300780867, 0.007333119732189167, 0.007791338328608456, 0.007523031696449825, 0.007872630370027544, 0.008049329602397653, 0.007839746934887244, 0.008425491579479291, 0.007893060557354921, 0.008266022727205726, 0.008295558344987332, 0.00876839486903828, 0.009004621697949617, 0.009973667234570903, 0.008991005466404153, 0.009040931503790416}","{2.8016073619631903, 2.8826549707602336, 2.9498024691358022, 3.0198, 3.1051775147928993, 3.198670588235294, 3.289036363636364, 3.362290909090909, 3.449885542168675, 3.561916666666667, 3.644916167664671, 3.754352201257862, 3.8749117647058817, 3.9645853658536585, 4.0796484848484855, 4.197924050632911, 4.345306748466258, 4.4837743902439025, 4.600319444444445, 4.7693828125}","{68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329, 68.70402040816329}","{0.00038684699159233866, 0.00035014639695006843, 0.0003332105130862089, 0.00035476108728503704, 0.000810230504325522, 0.0002891351658148402, 0.0002888428004579838, 0.0002877180298922689, 0.00028521824421903443, 0.00023692695086239296, 0.0002525619309125636, 0.00026218345692691035, 0.0002368243545115185, 0.0002419266313465538, 0.00023613477082802962, 0.00024848438118363635, 0.0002681464221073574, 0.00023185961074572787, 0.00034794988260233883, 0.00037406397575742847}","{0.020253717462024805, 0.020428007671715244, 0.021492893487806555, 0.021432193944676544, 0.022346919866963397, 0.022067903102830043, 0.022928927487090908, 0.023385793913355272, 0.023668775304896222, 0.024470017258887138, 0.02464081969431049, 0.02636484556757413, 0.024911227600723986, 0.02656416140602311, 0.027806730689461184, 0.027941513052476483, 0.029448565064678994, 0.0301529088431056, 0.03223274726071084, 0.03375324801877326}"
PYE 24C,"{0.004921816880350335, 0.005161207193449943, 0.005759791306811417, 0.0056509067432071545, 0.005501202801112852, 0.005766012147582314, 0.0059651845769375135, 0.005816685298421411, 0.006069031318224261, 0.006027519693361413, 0.006256343055484574, 0.006159471976449737, 0.006252867142095814, 0.0064682528614015185, 0.0064673318186148085, 0.006910483285206064, 0.007204318968365542, 0.007481448423523305, 0.0073183117389166675, 0.005603705519905512}","{2.766651717557252, 2.837465909090909, 2.9087801886792453, 2.9837936210131333, 3.0655517560073937, 3.1464738805970143, 3.232824953445065, 3.3214643848288623, 3.415567441860466, 3.5112609099350043, 3.6162168674698796, 3.719539461467038, 3.829894639556377, 3.941857142857143, 4.063484905660378, 4.194390891840607, 4.332798676748583, 4.48803488372093, 4.644250968992248, 4.783272034820458}","{92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259, 92.36660256410259}","{0.00015576567504377875, 0.00018558516054753717, 0.00015025682338769793, 0.00017367811032289643, 0.00017403099428898032, 0.00012457383953383202, 0.0001191607650922894, 0.00010748727853173363, 0.00010716350394096779, 0.00010049896441327524, 0.00009904524363968022, 0.00010200208572373587, 0.00009990398452615943, 0.00010240287352785981, 0.00010236109271311551, 0.0001087978957135486, 0.00010771624047450154, 0.00010660923763932457, 0.00012443516804508923, 0.00016989738527580745}","{0.0066890884537174665, 0.006837334148804941, 0.007069035065842547, 0.007201006015895488, 0.007332428506578322, 0.0074958048056181096, 0.007666661464379325, 0.00773723488254461, 0.008024470522859777, 0.008151692461650168, 0.008227299587997908, 0.008531051680263814, 0.008634469505383931, 0.008877481261746046, 0.009336555142319873, 0.00945616149153233, 0.009892370274132152, 0.010397454299609496, 0.01051878000712601, 0.011032474199849079}"
